,Date,ID,Name,Abs_magnitude,Min_diameter,Max_diameter,Potential_hazard,Close_approach_date,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object
98,2023-01-07,2452334,452334 (2001 LB),21.08,0.1616422833,0.3614431336,False,2023-01-07,11.5934010055,0.281013585,Earth,False
99,2023-01-07,3157028,(2003 MK4),20.86,0.1788771952,0.3999815682,True,2023-01-07,14.5133895675,0.1114851852,Earth,False
100,2023-01-07,3330447,(2006 HJ18),21.88,0.1118291378,0.250057554,False,2023-01-07,10.9074871608,0.2559053187,Earth,False
101,2023-01-07,3400310,(2008 BX2),23.6,0.0506471459,0.1132504611,False,2023-01-07,18.855820799,0.2954774797,Earth,False
102,2023-01-07,3646649,(2013 QM10),24.49,0.0336166921,0.0751692087,False,2023-01-07,16.5596181201,0.4679254369,Earth,False
103,2023-01-07,3655393,(2013 YL2),23.33,0.0573528464,0.1282448632,False,2023-01-07,18.9015749414,0.1003761917,Earth,False
104,2023-01-07,3740102,(2016 AE166),21.43,0.1375798959,0.3076379996,False,2023-01-07,19.5538231161,0.0928494116,Earth,False
105,2023-01-07,3837638,(2019 AR3),22.43,0.0868070458,0.1941064553,False,2023-01-07,26.3552066249,0.1772430899,Earth,False
106,2023-01-07,3837777,(2019 AJ8),23.24,0.0597798714,0.1336718562,False,2023-01-07,13.5077525469,0.2227821309,Earth,False
107,2023-01-07,54191845,(2021 RH),25.78,0.0185590173,0.0414992243,False,2023-01-07,13.5008037984,0.3549060651,Earth,False
108,2023-01-07,54240297,(2022 BB3),22.91,0.0695913044,0.1556108872,False,2023-01-07,10.0943824875,0.3641430123,Earth,False
109,2023-01-07,54290521,(2022 OF),26.31,0.0145396843,0.0325117225,False,2023-01-07,13.7642995208,0.1361616438,Earth,False
110,2023-01-07,54336963,(2022 YD6),24.18,0.038775283,0.0867041687,False,2023-01-07,9.5626087119,0.1030240883,Earth,False
111,2023-01-07,54338283,(2023 AF),20.66,0.1961349444,0.4385710684,False,2023-01-07,18.9482049659,0.4200441056,Earth,False
